                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.1227,                0.67216,                0.90648,                0.99908,                      1,                  0.995,                0.63709,                  1.342,                0.64572,                0.99778,               0.008053,               0.008053,               0.008053
                     61,                 1.1694,                0.69538,                0.91011,                0.99846,                      1,                  0.995,                0.68452,                 1.1638,                 0.6126,                0.94479,                0.00802,                0.00802,                0.00802
                     62,                 1.0994,                0.64772,                0.90055,                0.99838,                      1,                  0.995,                0.63478,                 1.3136,                0.65644,                0.99151,               0.007987,               0.007987,               0.007987
                     63,                 1.2587,                0.68623,                0.92826,                0.99866,                      1,                  0.995,                0.67358,                 1.1504,                0.60876,                  0.945,               0.007954,               0.007954,               0.007954
                     64,                 1.1141,                 0.6121,                0.90368,                0.99944,                      1,                  0.995,                0.67351,                 1.2351,                0.60707,                0.96509,               0.007921,               0.007921,               0.007921
                     65,                 1.1266,                0.64058,                0.89354,                0.99874,                      1,                  0.995,                0.68957,                 1.1536,                0.67605,                0.94425,               0.007888,               0.007888,               0.007888
                     66,                 1.1087,                0.63125,                0.89444,                 0.9995,                      1,                  0.995,                0.68781,                 1.1725,                0.54634,                0.95733,               0.007855,               0.007855,               0.007855
                     67,                 1.0817,                0.60451,                0.89891,                0.99878,                      1,                  0.995,                0.66483,                 1.2304,                0.61198,                0.96616,               0.007822,               0.007822,               0.007822
                     68,                 1.2257,                0.65686,                0.89724,                0.99774,                      1,                  0.995,                0.69397,                 1.1213,                0.58501,                0.94026,               0.007789,               0.007789,               0.007789
                     69,                 1.0977,                0.61449,                0.89565,                0.99851,                      1,                  0.995,                0.62871,                 1.3314,                0.63624,                 0.9975,               0.007756,               0.007756,               0.007756
                     70,                 1.0384,                0.59985,                0.88996,                0.99881,                      1,                  0.995,                0.70399,                 1.0677,                0.55067,                0.91985,               0.007723,               0.007723,               0.007723
                     71,                 1.0846,                0.60582,                0.89365,                0.99881,                      1,                  0.995,                0.61323,                 1.3878,                0.62289,                 1.0156,                0.00769,                0.00769,                0.00769
                     72,                 1.1374,                0.63239,                0.93174,                0.99848,                      1,                  0.995,                0.70724,                 1.0835,                0.56801,                0.92618,               0.007657,               0.007657,               0.007657
                     73,                 1.0574,                0.61525,                0.87489,                0.99888,                      1,                  0.995,                0.68269,                 1.1367,                0.65034,                0.93168,               0.007624,               0.007624,               0.007624
                     74,                 1.0429,                0.65554,                0.89438,                0.99839,                      1,                  0.995,                0.68638,                 1.1622,                0.60259,                0.95442,               0.007591,               0.007591,               0.007591
