                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    148,                 1.5121,                0.63451,                0.86982,                0.99908,                0.98491,                0.99487,                  0.525,                 1.5566,                0.61704,                0.87048,               0.005149,               0.005149,               0.005149
                    149,                 1.5109,                0.63263,                0.85961,                0.99697,                0.99569,                0.99498,                0.52541,                 1.5505,                0.60665,                0.86578,               0.005116,               0.005116,               0.005116
                    150,                 1.5092,                0.62194,                0.86694,                0.99353,                0.99281,                0.99328,                0.52908,                  1.546,                 0.5981,                0.87008,               0.005083,               0.005083,               0.005083
                    151,                 1.5034,                0.62476,                0.86147,                      1,                0.99568,                  0.995,                0.54945,                 1.5109,                0.60328,                0.86344,                0.00505,                0.00505,                0.00505
                    152,                  1.532,                0.64867,                0.86932,                0.99316,                0.98922,                0.98905,                0.50753,                 1.5695,                0.62457,                0.87099,               0.005017,               0.005017,               0.005017
                    153,                 1.5132,                0.63644,                0.86552,                0.99988,                0.99784,                  0.995,                0.54823,                 1.5109,                0.59975,                 0.8635,               0.004984,               0.004984,               0.004984
                    154,                 1.4973,                0.62453,                0.86446,                0.99973,                0.99784,                  0.995,                0.55552,                 1.5006,                0.59248,                  0.863,               0.004951,               0.004951,               0.004951
                    155,                 1.4945,                0.62907,                0.86159,                0.99343,                0.98491,                 0.9936,                0.52975,                 1.5549,                0.63294,                0.87031,               0.004918,               0.004918,               0.004918
                    156,                 1.4851,                 0.6262,                0.87096,                0.99901,                0.99784,                  0.995,                0.55033,                 1.5226,                0.59827,                0.86825,               0.004885,               0.004885,               0.004885
                    157,                 1.5118,                0.61625,                0.87266,                0.99977,                      1,                  0.995,                0.55173,                 1.5349,                0.59534,                0.86568,               0.004852,               0.004852,               0.004852
                    158,                 1.4992,                0.63599,                0.86404,                0.99703,                0.98922,                0.99374,                0.53935,                 1.5126,                0.59413,                0.86405,               0.004819,               0.004819,               0.004819
                    159,                 1.4959,                0.62928,                0.86275,                0.99321,                0.99569,                0.99459,                 0.5201,                 1.5817,                 0.6058,                0.86904,               0.004786,               0.004786,               0.004786
